metro,ccode,year,qtr,period,lh_emp,total_emp,lh_share,is_host,lh_imputed,cohort,treated,d,log_lh
Austin,C1242,2021,1,28,106921.0,1056870.0,0.10116759866397948,0,False,,0,0,11.57984552299625
Austin,C1242,2021,2,29,118289.66666666667,1094927.0,0.1080342951326131,0,False,,0,0,11.680891697602485
Austin,C1242,2021,3,30,124279.33333333333,1117295.0,0.11123233643158999,0,False,,0,0,11.73028699926129
Austin,C1242,2021,4,31,126846.0,1156248.0,0.10970483840836914,0,False,,0,0,11.750729031223187
Austin,C1242,2022,1,32,127313.0,1162583.6666666667,0.10950867765502754,0,False,,0,0,11.754403900305583
Austin,C1242,2022,2,33,136972.66666666666,1193662.0,0.11474995992723791,0,False,,0,0,11.827536671522825
Austin,C1242,2022,3,34,139563.66666666666,1211485.6666666667,0.11520042746413012,0,False,,0,0,11.84627616800421
Austin,C1242,2022,4,35,139521.33333333334,1232332.6666666667,0.11321726438586117,0,False,,0,0,11.845972795672067
Austin,C1242,2023,1,36,140628.33333333334,1229109.0,0.11441485932763762,0,False,,0,0,11.853875755363598
Austin,C1242,2023,2,37,146786.0,1249069.6666666667,0.11751626343766787,0,False,,0,0,11.896731022767339
Austin,C1242,2023,3,38,145641.0,1249763.0,0.11653489501609506,0,False,,0,0,11.888899968511334
Austin,C1242,2023,4,39,145088.33333333334,1270579.3333333333,0.11419069201503358,0,False,,0,0,11.885098031320819
Austin,C1242,2024,1,40,143939.0,1246876.6666666667,0.11543964519345672,0,False,,0,0,11.877144877698493
Austin,C1242,2024,2,41,149612.66666666666,1264150.0,0.11835040672915924,0,False,,0,0,11.91580501116992
Austin,C1242,2024,3,42,147266.33333333334,1262817.6666666667,0.11661725775666215,0,False,,0,0,11.89999801782985
Austin,C1242,2024,4,43,148729.33333333334,1282848.0,0.11593683221498832,0,False,,0,0,11.909883378181206
Austin,C1242,2025,1,44,147764.66666666666,1293274.0,0.1142562725815772,0,False,,0,0,11.903376197121194
Austin,C1242,2025,2,45,152536.66666666666,1307502.3333333333,0.11666263438153202,0,False,,0,0,11.935160283287692
Baltimore,C1258,2014,1,0,119053.33333333333,1240757.3333333333,0.09595214965483446,0,False,,0,0,11.687326850963043
Baltimore,C1258,2014,2,1,132357.33333333334,1278073.6666666667,0.10356001910166368,0,False,,0,0,11.793260614758957
Baltimore,C1258,2014,3,2,135688.0,1270790.0,0.10677452608220084,0,False,,0,0,11.818113411551675
Baltimore,C1258,2014,4,3,129368.66666666667,1291852.6666666667,0.10014196665357608,0,False,,0,0,11.770421488502391
Baltimore,C1258,2015,1,4,125357.33333333333,1261985.3333333333,0.09933343123903184,0,False,,0,0,11.738923604733877
Baltimore,C1258,2015,2,5,136982.0,1297060.3333333333,0.10560958228363061,0,False,,0,0,11.827604809316938
Baltimore,C1258,2015,3,6,139686.33333333334,1290509.6666666667,0.10824121425927585,0,False,,0,0,11.84715471177901
